epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.773,1.04634,1.35406,0.83725,0.68167,0.45434,0.54834,0.3858,1.03776,1.34977,0.80966,5.93094e-05,5.93094e-05,5.93094e-05
2,278.87,1.06366,1.33729,0.83614,0.64075,0.49248,0.57424,0.39753,1.04378,1.34218,0.81593,0.000114265,0.000114265,0.000114265
3,482.251,1.05041,1.32035,0.83552,0.63979,0.51119,0.57893,0.4011,1.02457,1.31844,0.80861,0.000164494,0.000164494,0.000164494
4,666.631,1.07888,1.31123,0.84289,0.52656,0.55948,0.59281,0.41602,1.0221,1.30423,0.81053,0.000157735,0.000157735,0.000157735
5,815.231,1.05904,1.32555,0.83104,0.62777,0.52581,0.59657,0.41001,1.04178,1.32607,0.80953,0.000150646,0.000150646,0.000150646
6,963.443,1.07742,1.31781,0.83816,0.67633,0.54532,0.6019,0.42003,1.0265,1.27971,0.81286,0.000143558,0.000143558,0.000143558
7,1115.31,1.03093,1.21167,0.83214,0.66517,0.559,0.61308,0.4257,1.03327,1.21288,0.81517,0.00013647,0.00013647,0.00013647
8,1254.28,1.06741,1.26992,0.83905,0.66533,0.58371,0.63146,0.44398,1.01826,1.20017,0.81554,0.000129381,0.000129381,0.000129381
9,1404.39,1.0275,1.18584,0.83801,0.71461,0.54738,0.62548,0.43777,1.00539,1.22636,0.80725,0.000122293,0.000122293,0.000122293
10,1541.6,1.03111,1.18659,0.83171,0.70512,0.56337,0.62757,0.4434,1.00497,1.20354,0.80979,0.000115204,0.000115204,0.000115204
11,1679.79,1.00574,1.15169,0.83519,0.72509,0.54886,0.64787,0.44884,0.99493,1.16587,0.80634,0.000108116,0.000108116,0.000108116
12,1837.05,1.00508,1.13929,0.83596,0.74017,0.59515,0.66485,0.46762,0.98731,1.1417,0.80559,0.000101028,0.000101028,0.000101028
13,2025.47,1.01282,1.14367,0.83299,0.71461,0.61135,0.67754,0.48034,0.96947,1.14892,0.80529,9.39392e-05,9.39392e-05,9.39392e-05
14,2199.39,0.97652,1.12639,0.82745,0.69211,0.60433,0.67106,0.47572,0.98439,1.10562,0.80698,8.68508e-05,8.68508e-05,8.68508e-05
15,2353.68,0.95922,1.07295,0.83376,0.72471,0.59549,0.67057,0.4725,0.98869,1.13759,0.80739,7.97624e-05,7.97624e-05,7.97624e-05
16,2546.39,1.00183,1.17643,0.82801,0.61403,0.62382,0.6808,0.47732,0.98863,1.16365,0.80646,7.2674e-05,7.2674e-05,7.2674e-05
17,2699.53,0.95773,1.13013,0.82688,0.78283,0.58782,0.66437,0.46441,0.97929,1.12081,0.80603,6.55856e-05,6.55856e-05,6.55856e-05
18,2867.21,0.93658,1.10485,0.8284,0.78067,0.58451,0.67969,0.47101,0.99995,1.1157,0.80836,5.84972e-05,5.84972e-05,5.84972e-05
19,3048.95,0.9567,1.08453,0.81989,0.81645,0.56942,0.68298,0.47744,0.99115,1.09466,0.80509,5.14088e-05,5.14088e-05,5.14088e-05
20,3199.7,0.94918,1.0722,0.81493,0.7357,0.61615,0.68505,0.48175,0.97425,1.07413,0.80537,4.43204e-05,4.43204e-05,4.43204e-05
21,3343.32,0.90883,1.0569,0.81718,0.72819,0.61561,0.70582,0.49719,0.96314,1.07561,0.80212,3.7232e-05,3.7232e-05,3.7232e-05
22,3486.48,0.92954,1.03951,0.81804,0.749,0.61774,0.70077,0.49385,0.96091,1.05273,0.80166,3.01436e-05,3.01436e-05,3.01436e-05
23,3641.15,0.87819,1.01164,0.81551,0.70182,0.62195,0.70352,0.49351,0.96101,1.04559,0.80291,2.30552e-05,2.30552e-05,2.30552e-05
24,3786.38,0.90229,1.01134,0.81727,0.77294,0.60713,0.69552,0.48455,0.96566,1.04275,0.80241,1.59668e-05,1.59668e-05,1.59668e-05
25,3925.12,0.91125,0.9904,0.81631,0.73736,0.61384,0.70543,0.49276,0.9603,1.03915,0.8011,8.8784e-06,8.8784e-06,8.8784e-06
