epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.9967,1.31671,2.01034,0.8506,0.59596,0.30958,0.37278,0.26189,1.25684,1.83934,0.83055,5.9428e-05,5.9428e-05,5.9428e-05
2,195.342,1.2699,1.82017,0.83726,0.63351,0.31695,0.38676,0.26345,1.27084,1.78579,0.83199,0.000113199,0.000113199,0.000113199
3,291.453,1.26875,1.85583,0.84463,0.48054,0.3695,0.39121,0.26019,1.25319,1.82318,0.83656,0.000161064,0.000161064,0.000161064
4,404.366,1.32544,1.84196,0.84654,0.44819,0.36624,0.3829,0.25908,1.25326,1.79474,0.83349,0.000152418,0.000152418,0.000152418
5,499.636,1.27814,1.75933,0.83907,0.58488,0.3669,0.40643,0.27525,1.27152,1.72251,0.83167,0.000143558,0.000143558,0.000143558
6,591.89,1.28544,1.74136,0.8412,0.55137,0.37253,0.40915,0.27966,1.26878,1.74171,0.83369,0.000134697,0.000134697,0.000134697
7,688.068,1.30182,1.6966,0.84382,0.47675,0.41052,0.4236,0.29177,1.22625,1.68991,0.83011,0.000125837,0.000125837,0.000125837
8,792.309,1.27519,1.68539,0.8409,0.61083,0.38547,0.42143,0.29276,1.24543,1.67611,0.83763,0.000116976,0.000116976,0.000116976
9,894.051,1.22533,1.57208,0.84238,0.55482,0.3999,0.43497,0.30268,1.22882,1.67522,0.82927,0.000108116,0.000108116,0.000108116
10,996.168,1.27928,1.66117,0.83058,0.7297,0.35168,0.43495,0.2985,1.24462,1.62243,0.8345,9.92555e-05,9.92555e-05,9.92555e-05
11,1088.11,1.21476,1.68705,0.83595,0.65029,0.38071,0.42783,0.29439,1.25214,1.66676,0.8327,9.0395e-05,9.0395e-05,9.0395e-05
12,1182.95,1.19262,1.68168,0.82459,0.57029,0.39945,0.43728,0.30049,1.23873,1.61506,0.83183,8.15345e-05,8.15345e-05,8.15345e-05
13,1277.41,1.19329,1.60912,0.82741,0.57123,0.43101,0.44383,0.3058,1.22316,1.58483,0.83255,7.2674e-05,7.2674e-05,7.2674e-05
14,1380.94,1.1867,1.51342,0.8265,0.51625,0.44848,0.45675,0.31667,1.22324,1.5978,0.83208,6.38135e-05,6.38135e-05,6.38135e-05
15,1466.38,1.1455,1.50212,0.82703,0.69327,0.39907,0.47981,0.33058,1.20618,1.53641,0.83213,5.4953e-05,5.4953e-05,5.4953e-05
16,1553.24,1.11571,1.45494,0.82433,0.75741,0.37527,0.48455,0.33275,1.19395,1.52548,0.82831,4.60925e-05,4.60925e-05,4.60925e-05
17,1638.6,1.11938,1.42668,0.8208,0.75516,0.38767,0.48777,0.34034,1.18178,1.48712,0.82777,3.7232e-05,3.7232e-05,3.7232e-05
18,1721.2,1.14436,1.46351,0.82294,0.75064,0.3776,0.48032,0.32713,1.18097,1.50362,0.82644,2.83715e-05,2.83715e-05,2.83715e-05
19,1803.87,1.14825,1.50204,0.82331,0.74175,0.39269,0.48339,0.33294,1.17354,1.48062,0.82607,1.9511e-05,1.9511e-05,1.9511e-05
20,1892.83,1.12103,1.4261,0.81864,0.75346,0.39224,0.47335,0.32988,1.16624,1.47972,0.82613,1.06505e-05,1.06505e-05,1.06505e-05
