epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.254,1.57733,5.73558,1.03092,0.01462,0.07998,0.01673,0.01255,1.47833,5.229,0.91985,5.91893e-05,5.91893e-05,5.91893e-05
2,363.121,1.5064,4.60404,0.92039,0.40314,0.07404,0.05953,0.04174,1.46188,4.17888,0.89802,0.000114934,0.000114934,0.000114934
3,523.418,1.43147,3.9051,0.90148,0.45244,0.12525,0.09073,0.0618,1.41687,3.63951,0.88543,0.00016674,0.00016674,0.00016674
4,669.484,1.41901,3.44709,0.89106,0.52789,0.11859,0.12337,0.08475,1.39552,3.36037,0.87621,0.000161279,0.000161279,0.000161279
5,822.98,1.34595,3.15951,0.87824,0.48097,0.15155,0.14996,0.10452,1.31521,3.04911,0.87455,0.000155372,0.000155372,0.000155372
6,978.226,1.32466,2.88954,0.88715,0.52426,0.2026,0.19521,0.13789,1.30268,2.84294,0.87106,0.000149465,0.000149465,0.000149465
7,1124.42,1.26496,2.69647,0.86311,0.41393,0.23808,0.20874,0.1468,1.25828,2.69684,0.86351,0.000143558,0.000143558,0.000143558
8,1270.56,1.26184,2.63836,0.86891,0.5518,0.2275,0.21929,0.15241,1.22713,2.60668,0.85358,0.000137651,0.000137651,0.000137651
9,1420.62,1.21708,2.45566,0.86747,0.57917,0.24734,0.25342,0.17435,1.22408,2.44562,0.85122,0.000131744,0.000131744,0.000131744
10,1565.67,1.18045,2.33197,0.85502,0.55166,0.26999,0.2866,0.19823,1.19702,2.37476,0.84545,0.000125837,0.000125837,0.000125837
11,1719.46,1.17269,2.26758,0.85747,0.44135,0.30885,0.30557,0.20891,1.17533,2.27995,0.84392,0.00011993,0.00011993,0.00011993
12,1868.91,1.19787,2.14226,0.86532,0.50748,0.30875,0.32345,0.21979,1.17944,2.19888,0.83908,0.000114023,0.000114023,0.000114023
13,2015.98,1.14563,2.06759,0.85158,0.48902,0.31454,0.33779,0.23602,1.15508,2.13001,0.83605,0.000108116,0.000108116,0.000108116
14,2164.82,1.13302,2.00476,0.85502,0.60981,0.33273,0.37281,0.25882,1.13014,2.02337,0.82679,0.000102209,0.000102209,0.000102209
15,2313.22,1.16526,1.99866,0.84858,0.54254,0.35836,0.37749,0.26449,1.10883,1.97115,0.82666,9.6302e-05,9.6302e-05,9.6302e-05
16,2456.26,1.12817,1.87931,0.85168,0.52201,0.36107,0.41193,0.29338,1.11909,1.92384,0.82994,9.0395e-05,9.0395e-05,9.0395e-05
17,2600.82,1.13203,1.92268,0.84525,0.65541,0.34219,0.41552,0.29855,1.10103,1.88482,0.82897,8.4488e-05,8.4488e-05,8.4488e-05
18,2747.07,1.07334,1.76413,0.83485,0.57597,0.40038,0.44562,0.31509,1.10133,1.82639,0.82786,7.8581e-05,7.8581e-05,7.8581e-05
19,2895.41,1.08699,1.73156,0.8439,0.60386,0.40556,0.4336,0.30457,1.09459,1.79363,0.82793,7.2674e-05,7.2674e-05,7.2674e-05
20,3062.4,1.04871,1.6989,0.84382,0.63209,0.39612,0.45897,0.32853,1.0857,1.7209,0.82502,6.6767e-05,6.6767e-05,6.6767e-05
21,3208.07,1.06469,1.90233,0.84543,0.52337,0.40337,0.43206,0.29621,1.11851,1.79168,0.8298,6.086e-05,6.086e-05,6.086e-05
22,3378.23,1.0391,1.81307,0.84038,0.67202,0.37806,0.46462,0.32107,1.09243,1.74662,0.82711,5.4953e-05,5.4953e-05,5.4953e-05
23,3536.26,1.03295,1.74567,0.8322,0.63793,0.41097,0.47548,0.32808,1.08551,1.69198,0.82495,4.9046e-05,4.9046e-05,4.9046e-05
24,3693.14,1.01317,1.69528,0.83945,0.59182,0.42229,0.48506,0.33255,1.07644,1.67236,0.82376,4.3139e-05,4.3139e-05,4.3139e-05
25,3844.7,1.00029,1.6265,0.83559,0.54474,0.42833,0.49518,0.34136,1.07475,1.64686,0.82484,3.7232e-05,3.7232e-05,3.7232e-05
26,3981.3,1.00927,1.65972,0.83727,0.51068,0.46624,0.49736,0.34563,1.06691,1.60759,0.82513,3.1325e-05,3.1325e-05,3.1325e-05
27,4127.14,0.97458,1.59337,0.83117,0.51058,0.46047,0.50571,0.35285,1.0634,1.5982,0.82263,2.5418e-05,2.5418e-05,2.5418e-05
28,4264.66,0.96527,1.588,0.83491,0.51781,0.49071,0.5061,0.35282,1.05053,1.58829,0.82131,1.9511e-05,1.9511e-05,1.9511e-05
29,4410.49,0.99016,1.59619,0.83839,0.56285,0.46637,0.5078,0.3555,1.05361,1.58047,0.82059,1.3604e-05,1.3604e-05,1.3604e-05
30,4552.51,0.98574,1.5666,0.83507,0.51873,0.48512,0.51346,0.36025,1.05201,1.57357,0.82132,7.697e-06,7.697e-06,7.697e-06
